id;client;title;amount_rub;stage;closed_at
D-001;«Титан-Банк»;Пульс Core, продление;9800000;won;2026-01-22
D-002;«Титан-Банк»;Модуль отчётности;6400000;open;
D-003;«Титан-Банк»;Интеграция с АБС;4200000;open;
D-004;«Фудлайн»;Пульс Retail, 240 точек;5100000;won;2026-03-19
D-005;«Фудлайн»;Расширение на франшизу;2300000;lost;2026-05-14
D-006;«Гарант-Страхование»;Пульс Core + биллинг;7600000;won;2025-11-08
D-007;«Гарант-Страхование»;Сопровождение 2026;1900000;won;2026-02-03
D-008;«Северный Дом»;Пилот, аналитика продаж;1400000;won;2026-02-27
D-009;«Северный Дом»;Полное развёртывание;8200000;open;
D-010;Ремтех;Пульс Core;3100000;won;2026-01-15
D-011;Аквилон-Про;Пилот;900000;won;2026-02-11
D-012;МедЛайн;Пульс Core;2700000;open;
D-013;Оптима-Групп;Внедрение;4400000;open;
D-014;Стройбаза-77;Пилот;750000;lost;2026-03-05
D-015;Витадент;Пульс Core;1200000;won;2026-03-27
D-016;Логопарк;Аналитика логистики;3600000;open;
D-017;Артель-Инвест;Пилот;1100000;lost;2026-04-09
D-018;Ремтех;Расширение лицензий;1500000;won;2026-04-16
D-019;МедЛайн;Сопровождение;800000;open;
D-020;Оптима-Групп;Обучение;450000;won;2026-05-21
D-021;Логопарк;Доработка витрин;2100000;open;
D-022;Аквилон-Про;Полное развёртывание;5300000;open;
D-023;Витадент;Вторая очередь;1000000;open;
D-024;Стройбаза-77;Повторный заход;1800000;open;
