month;revenue_rub;costs_rub;margin_rub
2025-03;24800000;21100000;3700000
2025-04;26100000;22000000;4100000
2025-05;27400000;22600000;4800000
2025-06;29900000;24300000;5600000
2025-07;27200000;23800000;3400000
2025-08;28600000;24100000;4500000
2025-09;31500000;25900000;5600000
2025-10;32000000;26400000;5600000
2025-11;34500000;27800000;6700000
2025-12;38000000;30200000;7800000
2026-01;22100000;24900000;-2800000
2026-02;25800000;25100000;700000
2026-03;28500000;25600000;2900000
2026-04;27300000;26200000;1100000
2026-05;29600000;26800000;2800000
2026-06;31200000;27400000;3800000
