month,revenue_usd,costs_usd,margin_usd
2025-03,1240000,1055000,185000
2025-04,1305000,1100000,205000
2025-05,1370000,1130000,240000
2025-06,1495000,1215000,280000
2025-07,1360000,1190000,170000
2025-08,1430000,1205000,225000
2025-09,1575000,1295000,280000
2025-10,1600000,1320000,280000
2025-11,1725000,1390000,335000
2025-12,1900000,1510000,390000
2026-01,1105000,1245000,-140000
2026-02,1290000,1255000,35000
2026-03,1425000,1280000,145000
2026-04,1365000,1310000,55000
2026-05,1480000,1340000,140000
2026-06,1560000,1370000,190000
